name,category,style,abv,ibu,srm
Baltika #8,Other Style,Light American Wheat Ale or Lager,5.0,0.0,0.0
Baltika #9,North American Lager,American-Style Lager,8.0,0.0,0.0
Baltika 6,Other Lager,Baltic-Style Porter,7.0,20.0,30.0
Baltika 6 Porter,Irish Ale,Porter,7.0,0.0,0.0
Bamberger SchwÃ¤rzla,German Lager,German-Style Schwarzbier,0.0,0.0,0.0
Bandit Brown,North American Ale,American-Style Brown Ale,0.0,0.0,0.0
Bandit IPA,North American Ale,American-Style India Pale Ale,0.0,0.0,0.0
Baracktoberfest,German Lager,German-Style Oktoberfest,0.0,0.0,0.0
Bare Knuckle Stout,North American Ale,American-Style Stout,0.0,0.0,0.0
Baritone Red,North American Ale,American-Style Amber/Red Ale,0.0,0.0,0.0
Barking Fish Porter,Irish Ale,Porter,0.0,0.0,0.0
Barnstormer Pale Ale,North American Ale,American-Style Pale Ale,0.0,0.0,0.0
Baron Pilsner,German Lager,German-Style Pilsener,4.699999809265137,0.0,0.0
Barristers Bitter,British Ale,Extra Special Bitter,4.0,0.0,0.0
Bartles and Lager,North American Lager,American-Style Lager,4.0,0.0,0.0
Bass Pale Ale,British Ale,Classic English-Style Pale Ale,5.0,0.0,0.0
Batch 666,Other Style,Winter Warmer,7.699999809265137,0.0,0.0
Battlefield Bock,German Lager,Traditional German-Style Bock,0.0,0.0,0.0
Bavarian Bock,German Lager,Traditional German-Style Bock,0.0,0.0,0.0
Bavarian Weiss,German Ale,South German-Style Hefeweizen,0.0,0.0,0.0
Bavarian Weiss Beer,German Ale,South German-Style Hefeweizen,0.0,0.0,0.0
Bavarian Wheat,German Ale,South German-Style Hefeweizen,0.0,0.0,0.0
Bavarian-Weissbier Hefeweisse / Weisser Hirsch,German Ale,South German-Style Hefeweizen,5.199999809265137,0.0,0.0
Beachballs Red Ale,North American Ale,American-Style Brown Ale,0.0,0.0,0.0
Beacon India Pale Ale,North American Ale,American-Style Pale Ale,0.0,0.0,0.0
Beast Bitter,British Ale,Extra Special Bitter,5.300000190734863,0.0,0.0
Beau Rivage Bock,North American Lager,American-Style Lager,0.0,0.0,0.0
Beaver Tail Brown Ale,North American Ale,American-Style Brown Ale,0.0,0.0,0.0
Beck's Light,German Lager,European Low-Alcohol Lager,0.0,0.0,0.0
Bee Sting Honey Ale,North American Ale,American-Style Pale Ale,5.900000095367432,0.0,0.0
Bee Sting Honey Rye Ale,Other Style,American Rye Ale or Lager,6.5,0.0,0.0
Beer,North American Lager,American-Style Lager,0.0,0.0,0.0
Beer Town Brown,North American Ale,American-Style Brown Ale,0.0,0.0,0.0
Befuddelator Doppelbock,German Lager,Traditional German-Style Bock,0.0,0.0,0.0
Behemoth Barley Wine,North American Ale,American-Style Barley Wine Ale,10.5,0.0,0.0
Belgian Abbey Dubbel,Belgian and French Ale,Belgian-Style Dubbel,7.0,0.0,0.0
Belikin Stout,North American Ale,American-Style Stout,0.0,0.0,0.0
Below Decks,North American Ale,American-Style Barley Wine Ale,10.0,0.0,0.0
Benchmark Old Ale,British Ale,Old Ale,9.899999618530273,0.0,0.0
Bengal Gold India Pale Ale,North American Ale,American-Style Pale Ale,0.0,0.0,0.0
Bent Nail IPA,North American Ale,American-Style India Pale Ale,0.0,0.0,0.0
Berghoff Genuine Dark,North American Lager,American-Style Lager,0.0,0.0,0.0
Berghoff Hefeweizen,German Ale,South German-Style Hefeweizen,0.0,0.0,0.0
Berghoff Oktoberfest Beer,German Lager,German-Style Oktoberfest,5.199999809265137,0.0,0.0
Berghoff Original Lager Beer,North American Lager,American-Style Lager,5.599999904632568,0.0,0.0
Berkshire Springs Stock Ale,North American Ale,American-Style Brown Ale,0.0,0.0,0.0
Best Brown,North American Ale,American-Style Brown Ale,0.0,0.0,0.0
Best Brown Ale,North American Ale,American-Style Brown Ale,5.800000190734863,0.0,0.0
Best Mild (discontinued),British Ale,English-Style Pale Mild Ale,0.0,0.0,0.0
BiFrÃ¶st Winter Ale,North American Ale,American-Style Pale Ale,0.0,0.0,0.0
Biere de Mars,British Ale,Old Ale,7.0,0.0,0.0
Big Ale,British Ale,Old Ale,0.0,0.0,0.0
Big Bad Dog Old English Ale,British Ale,Old Ale,0.0,0.0,0.0
Big Bear Stout,North American Ale,American-Style Stout,0.0,0.0,0.0
Big Ben Brown,North American Ale,American-Style Brown Ale,0.0,0.0,0.0
Big Bertha Brown,North American Ale,American-Style Brown Ale,0.0,0.0,0.0
Big Black Stout,North American Ale,American-Style Stout,0.0,0.0,0.0
Big Boat Oatmeal Stout,North American Ale,American-Style Stout,6.599999904632568,0.0,0.0
Big Butt Doppelbock,German Lager,Traditional German-Style Bock,5.800000190734863,0.0,0.0
Big Daddy Brown,North American Ale,American-Style Brown Ale,0.0,0.0,0.0
Big Easy Beer,German Lager,Traditional German-Style Bock,0.0,0.0,0.0
Big Hop Harvest Ale,North American Ale,American-Style India Pale Ale,7.400000095367432,0.0,0.0
Big Hop IPA,North American Ale,American-Style India Pale Ale,5.800000190734863,0.0,0.0
Big Hoppy Monster,North American Ale,American-Style Amber/Red Ale,8.75,0.0,0.0
Big Horn Big Red Ale,North American Ale,American-Style Pale Ale,0.0,0.0,0.0
Big Horn Bluesberry,Other Style,Light American Wheat Ale or Lager,0.0,0.0,0.0
Big Horn Buttface Amber,North American Ale,American-Style Amber/Red Ale,0.0,0.0,0.0
Big Horn Fort Collins Stout,North American Ale,American-Style Stout,0.0,0.0,0.0
Big Horn Hefeweizen,German Ale,South German-Style Hefeweizen,0.0,0.0,0.0
Big Horn Light,North American Lager,American-Style Lager,0.0,0.0,0.0
Big Horn Nut Brown Ale,North American Ale,American-Style Brown Ale,0.0,0.0,0.0
Big Horn Total Disorder Porter,Irish Ale,Porter,0.0,0.0,0.0
Big Island Porter,Irish Ale,Porter,0.0,0.0,0.0
Big Kahuna Brown,North American Ale,American-Style Brown Ale,0.0,0.0,0.0
Big Nasty Porter,Irish Ale,Porter,6.400000095367432,0.0,0.0
Big Red Imperial Red Ale,North American Ale,American-Style Amber/Red Ale,9.5,0.0,0.0
Big Shot Seasonal Ale,Irish Ale,Porter,0.0,0.0,0.0
Big Swede Swedish-Style Imperial Stout,North American Ale,American-Style Stout,0.0,0.0,0.0
Bighorn IPA,North American Ale,American-Style India Pale Ale,0.0,0.0,0.0
Bill Old Ale,British Ale,Old Ale,0.0,0.0,0.0
Bill Payer Ale / BPA,North American Ale,American-Style Pale Ale,0.0,0.0,0.0
Billings IPA,North American Ale,American-Style India Pale Ale,0.0,0.0,0.0
Biloxi Light,North American Lager,American-Style Lager,0.0,0.0,0.0
Birch Wood Ale,North American Ale,American-Style Pale Ale,0.0,0.0,0.0
Bird of Prey IPA,British Ale,English-Style India Pale Ale,8.260000228881836,0.0,0.0
Bison Brown,North American Ale,American-Style Brown Ale,5.0,0.0,0.0
Bison Brown Ale,North American Ale,American-Style Brown Ale,0.0,0.0,0.0
Bistro Blonde,North American Ale,Golden or Blonde Ale,4.199999809265137,0.0,0.0
Bitter Amber,North American Ale,American-Style Amber/Red Ale,0.0,0.0,0.0
Bitter Woman From Hell Extra IPA,North American Ale,American-Style India Pale Ale,0.0,0.0,0.0
Bitter Woman in the Rye,Other Style,American Rye Ale or Lager,0.0,0.0,0.0
BiÃ¨re Darbyste,Other Style,Light American Wheat Ale or Lager,0.0,0.0,0.0
Black & Blue,Other Style,Fruit Beer,10.0,0.0,0.0
Black Abbot / Schwarzer Abt,German Lager,German-Style Schwarzbier,3.9000000953674316,0.0,0.0
Black Albert,North American Ale,American-Style Imperial Stout,13.0,0.0,0.0
Black Angus Oatmeal Stout,North American Ale,American-Style Stout,0.0,0.0,0.0
Black Bear Ale,North American Ale,American-Style Brown Ale,0.0,0.0,0.0
Black Butte Porter,Irish Ale,Porter,5.199999809265137,0.0,0.0
Black Cat,British Ale,English-Style Pale Mild Ale,3.4000000953674316,0.0,0.0
Black Cat Stout,North American Ale,American-Style Stout,6.0,0.0,0.0
Black Chip Porter,Irish Ale,Porter,0.0,0.0,0.0
Black Chocolate Stout,North American Ale,American-Style Stout,10.0,0.0,0.0
Black Cobra Stout,North American Ale,American-Style Stout,0.0,0.0,0.0
Black Creek Porter,Other Style,Smoke Beer,0.0,0.0,0.0
Black Diamond Imperial Porter,North American Ale,American-Style Stout,0.0,0.0,0.0
Black Diamond Porter,Irish Ale,Porter,0.0,0.0,0.0
Black Dog Yellowstone Ale,North American Ale,American-Style Pale Ale,0.0,0.0,0.0
Black Earth Porter,Irish Ale,Porter,0.0,0.0,0.0
Black Forest,German Lager,German-Style Schwarzbier,0.0,0.0,0.0
Black Forest Schwarzbier,German Lager,German-Style Schwarzbier,0.0,0.0,0.0
Black Hawk Stout,North American Ale,American-Style Stout,0.0,0.0,0.0
Black Honey Ale,North American Lager,American-Style Lager,0.0,0.0,0.0
Black Hook Porter,Irish Ale,Porter,0.0,0.0,0.0
Black Irish Plain Porter,Irish Ale,Porter,0.0,0.0,0.0
Black Jack Black and Tan,North American Lager,American-Style Lager,0.0,0.0,0.0
Black Jack Porter,Irish Ale,Porter,0.0,0.0,0.0
Black Jack Stout,North American Ale,American-Style Stout,0.0,0.0,0.0
Black Lab Stout,North American Ale,American-Style Stout,0.0,0.0,0.0
Black Lava Lager,German Lager,German-Style Schwarzbier,0.0,0.0,0.0
Black Magick,North American Ale,American-Style Imperial Stout,15.0,0.0,0.0
Black Marlin Porter,Irish Ale,Porter,6.0,0.0,0.0
Black Mo Stout,North American Ale,American-Style Stout,4.599999904632568,0.0,0.0
Black Mocha Stout,North American Ale,American-Style Stout,5.300000190734863,0.0,0.0
Black Mulligan Dublin Stout,North American Ale,American-Style Stout,0.0,0.0,0.0
Black Plague Stout,North American Ale,American-Style Stout,0.0,0.0,0.0
Black Powder Stout,North American Ale,American-Style Stout,0.0,0.0,0.0
Black River Brown,North American Ale,American-Style Brown Ale,0.0,0.0,0.0
Black Rock Bock,German Lager,Traditional German-Style Bock,0.0,0.0,0.0
Black Rye Bock,German Lager,Traditional German-Style Bock,6.199999809265137,0.0,0.0
Black Sand Porter,Irish Ale,Porter,0.0,0.0,0.0
Black Strap Stout,North American Ale,American-Style Stout,6.0,0.0,0.0
Black Wolf Ale,North American Ale,American-Style Pale Ale,0.0,0.0,0.0
Black Wych Stout,North American Ale,American-Style Stout,0.0,0.0,0.0
Black Xantus,North American Ale,American-Style Imperial Stout,10.0,0.0,0.0
Black and Tan,North American Lager,American-Style Lager,0.0,0.0,0.0
Blackberry,Other Style,Light American Wheat Ale or Lager,0.0,0.0,0.0
Blackbird Porter,Irish Ale,Porter,0.0,0.0,0.0
Blackburn Doppelbock,German Lager,Traditional German-Style Bock,7.900000095367432,0.0,0.0
Blackforest Lager,German Lager,German-Style Schwarzbier,0.0,0.0,0.0
Blackfriar,British Ale,Scotch Ale,7.0,0.0,0.0
Blackout Stout,North American Ale,American-Style Imperial Stout,9.0,0.0,0.0
Blacksburger Pils,German Lager,German-Style Pilsener,4.699999809265137,0.0,0.0
Blacksmith Porter,Irish Ale,Porter,0.0,0.0,0.0
Blacksmith Stout,North American Ale,American-Style Stout,0.0,0.0,0.0
Blackstone Stout,North American Ale,American-Style Stout,5.900000095367432,0.0,0.0
Blacktop Porter,Irish Ale,Porter,0.0,0.0,0.0
Blackwood Mountain Stout,North American Ale,American-Style Stout,0.0,0.0,0.0
Blarney Stone Stout,North American Ale,American-Style Stout,0.0,0.0,0.0
Blind Pig Dunkelweizen,North American Lager,American-Style Lager,4.699999809265137,0.0,0.0
Blind Side Pale Ale,North American Ale,American-Style Pale Ale,0.0,0.0,0.0
Blind Tiger Pale Ale,North American Ale,American-Style Pale Ale,4.800000190734863,0.0,0.0
Blitzen Christmas Ale,Other Style,Fruit Beer,8.5,0.0,0.0
Blonde,Belgian and French Ale,Other Belgian-Style Ales,6.0,0.0,0.0
Blonde,North American Lager,American-Style Lager,0.0,0.0,0.0
Blonde Ale,British Ale,English-Style Pale Mild Ale,0.0,0.0,0.0
Blonde Bock,German Lager,Traditional German-Style Bock,0.0,0.0,0.0
Blonde Doppelbock,German Lager,Traditional German-Style Bock,0.0,0.0,0.0
Blonde Light,North American Lager,American-Style Lager,0.0,0.0,0.0
Blue,Other Style,Fruit Beer,4.900000095367432,0.0,0.0
Blue Bell Bitter,British Ale,Special Bitter or Best Bitter,5.400000095367432,0.0,0.0
Blue Dot Double India Pale Ale,North American Ale,Imperial or Double India Pale Ale,7.0,0.0,0.0
Blue Heron Pale Ale,North American Ale,American-Style Pale Ale,0.0,0.0,0.0
Blueberry Blonde,Other Style,Light American Wheat Ale or Lager,0.0,0.0,0.0
Blueberry Wheat,Other Style,Light American Wheat Ale or Lager,0.0,0.0,0.0
Blur IPA,North American Ale,American-Style India Pale Ale,0.0,0.0,0.0
Bock,German Lager,Traditional German-Style Bock,0.0,0.0,0.0
Bock Dark,German Lager,Traditional German-Style Bock,0.0,0.0,0.0
Bockbier,German Lager,Traditional German-Style Bock,0.0,0.0,0.0
Bohemia ClÃ¡sica,North American Lager,American-Style Lager,0.0,0.0,0.0
Bombardier Brown,North American Ale,American-Style Brown Ale,0.0,0.0,0.0
Bombay Pale Ale,North American Ale,American-Style Pale Ale,0.0,0.0,0.0
Bombay by Boat IPA,North American Ale,American-Style India Pale Ale,0.0,0.0,0.0
